iid,title,genres
2065,Jefferson in Paris (1995),Drama
2596,"Jerky Boys, The (1995)",Comedy
1182,Junior (1994),Comedy|Sci-Fi
882,Just Cause (1995),Mystery|Thriller
1674,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
1921,Kiss of Death (1995),Crime|Drama|Thriller
44,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
1052,Little Women (1994),Drama
1053,"Little Princess, A (1995)",Children|Drama
2774,Ladybird Ladybird (1994),Drama
109,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
414,Legends of the Fall (1994),Drama|Romance|War|Western
1342,Major Payne (1995),Comedy
1927,Little Odessa (1994),Crime|Drama
492,My Crazy Life (Mi vida loca) (1993),Drama
2955,Love Affair (1994),Drama|Romance
2529,Losing Isaiah (1995),Drama
356,"Madness of King George, The (1994)",Comedy|Drama
2322,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
2520,Man of the House (1995),Comedy
654,Mixed Nuts (1994),Comedy
1349,Milk Money (1994),Comedy|Romance
656,Miracle on 34th Street (1994),Drama
1350,Miami Rhapsody (1995),Comedy
2072,My Family (1995),Drama
1831,Murder in the First (1995),Drama|Thriller
1937,Nobody's Fool (1994),Comedy|Drama|Romance
511,Nell (1994),Drama
1752,Nina Takes a Lover (1994),Comedy|Romance
222,Natural Born Killers (1994),Action|Crime|Thriller
1753,Only You (1994),Comedy|Romance
1941,Once Were Warriors (1994),Crime|Drama
1070,Poison Ivy II (1996),Drama|Thriller
79,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
976,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
2213,"Perez Family, The (1995)",Comedy|Romance
2710,"Pyromaniac's Love Story, A (1995)",Comedy|Romance
243,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
2972,Panther (1995),Drama
2177,Pushing Hands (Tui shou) (1992),Drama
247,Priest (1994),Drama
518,Quiz Show (1994),Drama
2665,Picture Bride (Bijo photo) (1994),Drama|Romance
1025,"Queen Margot (Reine Margot, La) (1994)",Drama|Romance
1289,"Quick and the Dead, The (1995)",Action|Thriller|Western
2975,Roommates (1995),Comedy|Drama
1735,Ready to Wear (Pret-A-Porter) (1994),Comedy
2415,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
1911,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
2490,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
1912,"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama
1176,Stuart Saves His Family (1995),Comedy
1036,"Swan Princess, The (1994)",Animation|Children
2002,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
1331,"Specialist, The (1994)",Action|Drama|Thriller
602,Stargate (1994),Action|Adventure|Sci-Fi
603,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
167,"Shawshank Redemption, The (1994)",Crime|Drama
953,Shallow Grave (1994),Comedy|Drama|Thriller
2492,Suture (1993),Film-Noir|Thriller
308,Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
1918,Swimming with Sharks (1995),Comedy|Drama
2318,"Sum of Us, The (1994)",Comedy|Drama
2519,National Lampoon's Senior Trip (1995),Comedy
1919,To Live (Huozhe) (1994),Drama
1046,Tank Girl (1995),Action|Comedy|Sci-Fi
2319,Tales from the Crypt Presents: Demon Knight (1995),Horror|Thriller
616,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
1125,Tales from the Hood (1995),Action|Crime|Horror
2865,Tom & Viv (1994),Drama
2320,Village of the Damned (1995),Horror|Sci-Fi
634,Tommy Boy (1995),Comedy
1451,Vanya on 42nd Street (1994),Drama
2882,Underneath (1995),Mystery|Thriller
489,What's Eating Gilbert Grape (1993),Drama
2478,Virtuosity (1995),Action|Sci-Fi|Thriller
635,While You Were Sleeping (1995),Comedy|Romance
967,"War, The (1994)",Adventure|Drama|War
1933,Double Happiness (1994),Drama
799,Muriel's Wedding (1994),Comedy
2856,"Baby-Sitters Club, The (1995)",Children
653,Ace Ventura: Pet Detective (1994),Comedy
500,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
1828,Backbeat (1993),Drama|Musical
2930,Bitter Moon (1992),Drama|Film-Noir|Romance
359,Bullets Over Broadway (1994),Comedy
150,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
1356,"Client, The (1994)",Drama|Mystery|Thriller
670,"Corrina, Corrina (1994)",Comedy|Drama|Romance
2531,Crooklyn (1994),Comedy|Drama
373,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
2723,Cobb (1994),Drama
1750,"Flintstones, The (1994)",Children|Comedy|Fantasy
171,Forrest Gump (1994),Comedy|Drama|Romance|War
380,Four Weddings and a Funeral (1994),Comedy|Romance
1938,Higher Learning (1995),Drama
1832,I Love Trouble (1994),Action|Comedy
1372,It Could Happen to You (1994),Comedy|Drama|Romance
2156,"Jungle Book, The (1994)",Adventure|Children|Romance
2496,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
388,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
1942,Little Buddha (1993),Drama
1789,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
512,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
83,Maverick (1994),Adventure|Comedy|Western
2667,Mrs. Parker and the Vicious Circle (1994),Drama
683,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
1760,"Paper, The (1994)",Comedy|Drama
1298,Reality Bites (1994),Comedy|Drama|Romance
2214,Red Rock West (1992),Thriller
1837,Richie Rich (1994),Children|Comedy
1839,"River Wild, The (1994)",Action|Thriller
263,Speed (1994),Action|Romance|Thriller
1383,Speechless (1994),Comedy|Romance
1694,Timecop (1994),Action|Sci-Fi|Thriller
148,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
1388,When a Man Loves a Woman (1994),Drama|Romance
1952,Wolf (1994),Drama|Horror|Romance|Thriller
395,Wyatt Earp (1994),Western
2400,Bad Company (1995),Action|Crime|Drama
2981,S.F.W. (1994),Drama
2369,"Low Down Dirty Shame, A (1994)",Action|Comedy
2669,Boys Life (1995),Drama
3009,"Colonel Chabert, Le (1994)",Drama|Romance|War
2204,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama
2500,Jason's Lyric (1994),Crime|Drama
1990,"Secret Adventures of Tom Thumb, The (1993)",Adventure|Animation
474,Street Fighter (1994),Action|Adventure|Fantasy
1050,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
2321,In the Mouth of Madness (1995),Horror|Thriller
2477,8 Seconds (1994),Drama
2674,Above the Rim (1994),Crime|Drama
1827,Addams Family Values (1993),Children|Comedy|Fantasy
351,"Age of Innocence, The (1993)",Drama
1346,Airheads (1994),Comedy
2722,"Air Up There, The (1994)",Comedy
1934,Another Stakeout (1993),Comedy|Thriller
1347,Bad Girls (1994),Western
2175,Barcelona (1994),Comedy|Romance
2071,Being Human (1993),Drama
1829,"Beverly Hillbillies, The (1993)",Comedy
1130,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
842,Black Beauty (1994),Adventure|Children|Drama
2883,Blink (1994),Thriller
1830,Blown Away (1994),Action|Thriller
1357,Blue Chips (1994),Drama
1296,Blue Sky (1994),Drama|Romance
2479,Body Snatchers (1993),Horror|Sci-Fi|Thriller
1936,Boxing Helena (1993),Drama|Mystery|Romance|Thriller
547,"Bronx Tale, A (1993)",Drama
1195,Cabin Boy (1994),Comedy
2724,Calendar Girl (1993),Comedy|Drama
1263,Carlito's Way (1993),Crime|Drama
1370,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
2725,Clean Slate (1994),Comedy
72,Cliffhanger (1993),Action|Adventure|Thriller
679,Coneheads (1993),Comedy|Sci-Fi
1940,Color of Night (1994),Drama|Thriller
2073,Cops and Robbersons (1994),Comedy
2202,"Cowboy Way, The (1994)",Action|Comedy|Drama
810,Dave (1993),Comedy|Romance
811,Dazed and Confused (1993),Comedy
107,Demolition Man (1993),Action|Adventure|Sci-Fi
2959,"Endless Summer 2, The (1994)",Adventure|Documentary
2759,Even Cowgirls Get the Blues (1993),Comedy|Romance
1380,Fatal Instinct (1993),Comedy
980,Farewell My Concubine (Ba wang bie ji) (1993),Drama|Romance
1761,"Favor, The (1994)",Comedy|Romance
1947,Fearless (1993),Drama
1650,Fear of a Black Hat (1994),Comedy
1386,With Honors (1994),Comedy|Drama
2079,Flesh and Bone (1993),Drama|Mystery|Romance
3001,Widows' Peak (1994),Drama
1840,For Love or Money (1993),Comedy|Romance
463,"Firm, The (1993)",Drama|Thriller
1389,Free Willy (1993),Adventure|Children|Drama
1953,Fresh (1994),Crime|Drama|Thriller
151,"Fugitive, The (1993)",Thriller
2368,Geronimo: An American Legend (1993),Drama|Western
154,"Getaway, The (1994)",Action|Adventure|Crime|Drama|Romance|Thriller
2480,Getting Even with Dad (1994),Comedy
298,Go Fish (1994),Drama|Romance
2940,"Good Man in Africa, A (1994)",Action|Adventure
1398,Guilty as Sin (1993),Crime|Drama|Thriller
2132,Hard Target (1993),Action|Adventure|Crime|Thriller
471,Heaven & Earth (1993),Action|Drama|War
1081,Hot Shots! Part Deux (1993),Action|Comedy|War
1401,Live Nude Girls (1995),Comedy
1301,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
1768,"House of the Spirits, The (1993)",Drama|Romance
2873,House Party 3 (1994),Comedy
1411,"Hudsucker Proxy, The (1994)",Comedy
1412,I'll Do Anything (1994),Comedy|Drama
1214,In the Army Now (1994),Comedy|War
431,In the Line of Fire (1993),Action|Thriller
1089,In the Name of the Father (1993),Drama
483,"Inkwell, The (1994)",Comedy|Drama
2217,What's Love Got to Do with It? (1993),Drama|Musical
2892,Jimmy Hollywood (1994),Comedy|Crime|Drama
2567,Judgment Night (1993),Action|Crime|Thriller
113,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
820,Kalifornia (1993),Drama|Thriller
1959,Killing Zoe (1994),Crime|Drama|Thriller
2672,King of the Hill (1993),Drama
2857,Lassie (1994),Adventure|Children
1095,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
1845,Life with Mikey (1993),Comedy
1420,Lightning Jack (1994),Comedy|Western
2703,M. Butterfly (1993),Drama|Romance
1772,Made in America (1993),Comedy
1668,Malice (1993),Thriller
1426,"Man Without a Face, The (1993)",Drama
1777,Manhattan Murder Mystery (1993),Comedy|Mystery
1100,Menace II Society (1993),Action|Crime|Drama
1468,Executive Decision (1996),Action|Adventure|Thriller
2705,In the Realm of the Senses (Ai no corrida) (1976),Drama
1006,What Happened Was... (1994),Comedy|Drama|Romance|Thriller
367,Much Ado About Nothing (1993),Comedy|Romance
161,Mr. Jones (1993),Drama|Romance
1429,Mr. Wonderful (1993),Comedy|Romance
896,Mrs. Doubtfire (1993),Comedy|Drama
233,Naked (1993),Drama
2155,"Next Karate Kid, The (1994)",Action|Children|Romance
2679,No Escape (1994),Action|Drama|Sci-Fi
2758,North (1994),Comedy
234,Orlando (1992),Drama|Fantasy|Romance
1647,"Perfect World, A (1993)",Crime|Drama|Thriller
437,Philadelphia (1993),Drama
237,"Piano, The (1993)",Drama|Romance
447,Poetic Justice (1993),Drama
1378,"Program, The (1993)",Action|Drama
2429,"Puppet Masters, The (1994)",Horror|Sci-Fi
1834,Radioland Murders (1994),Comedy|Mystery|Romance
1835,"Ref, The (1994)",Comedy
106,"Remains of the Day, The (1993)",Drama|Romance
1836,Renaissance Man (1994),Comedy|Drama
846,Rising Sun (1993),Action|Drama|Mystery
1379,"Road to Wellville, The (1994)",Comedy
1946,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
695,Robin Hood: Men in Tights (1993),Comedy
1269,Romeo Is Bleeding (1993),Crime|Thriller
1951,Romper Stomper (1992),Action|Drama
2543,Ruby in Paradise (1993),Drama
461,Rudy (1993),Drama
2700,"Saint of Fort Washington, The (1993)",Drama
23,Schindler's List (1993),Drama|War
1443,"Scout, The (1994)",Comedy|Drama
523,Searching for Bobby Fischer (1993),Drama
49,"Secret Garden, The (1993)",Children|Drama
1080,Serial Mom (1994),Comedy|Crime|Horror
1841,"Shadow, The (1994)",Action|Adventure|Fantasy|Mystery
1842,Shadowlands (1993),Drama|Romance
2422,Short Cuts (1993),Drama
2168,"Simple Twist of Fate, A (1994)",Drama
2761,Sirens (1994),Drama
473,Six Degrees of Separation (1993),Drama
725,Sleepless in Seattle (1993),Comedy|Drama|Romance
1409,Sliver (1993),Thriller
739,Blade Runner (1982),Action|Sci-Fi|Thriller
740,Son in Law (1993),Comedy|Drama|Romance
741,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
2371,Striking Distance (1993),Action|Crime
1087,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
2681,Surviving the Game (1994),Action|Adventure|Thriller
2430,Terminal Velocity (1994),Action|Mystery|Thriller
2440,Thirty-Two Short Films About Glenn Gould (1993),Drama|Musical
1417,Threesome (1994),Comedy|Romance
329,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
193,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
912,Tombstone (1993),Action|Drama|Western
2982,Trial by Jury (1994),Crime|Drama|Thriller
493,True Romance (1993),Crime|Thriller
1277,"War Room, The (1993)",Documentary
2159,"Pagemaster, The (1994)",Action|Adventure|Animation|Children|Fantasy
363,Welcome to the Dollhouse (1995),Comedy|Drama
2533,Chasers (1994),Comedy
1570,Cronos (1993),Drama|Horror
2181,Bhaji on the Beach (1993),Comedy|Drama
425,Little Big League (1994),Comedy|Drama
2768,"Slingshot, The (Kådisbellan) (1993)",Comedy|Drama
1863,"Wedding Gift, The (1994)",Drama|Romance
2652,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama
2405,Spanking the Monkey (1994),Comedy|Drama
1794,"Little Rascals, The (1994)",Children|Comedy
2138,Andre (1994),Adventure|Children|Drama
1867,Princess Caraboo (1994),Drama
244,"Celluloid Closet, The (1995)",Documentary
2198,Dear Diary (Caro Diario) (1994),Comedy|Drama
1158,"Brady Bunch Movie, The (1995)",Comedy
563,Home Alone (1990),Children|Comedy
564,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
33,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
97,Terminator 2: Judgment Day (1991),Action|Sci-Fi
123,Dances with Wolves (1990),Adventure|Drama|Western
584,Batman (1989),Action|Crime|Thriller
128,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
8,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
10,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
585,Pinocchio (1940),Animation|Children|Fantasy|Musical
394,Pretty Woman (1990),Comedy|Romance
1796,"Wild Bunch, The (1969)",Adventure|Western
2839,Love and a .45 (1994),Action|Comedy|Crime
2544,"Great Day in Harlem, A (1994)",Documentary
2370,"Bye Bye, Love (1995)",Comedy
1396,One Fine Day (1996),Drama|Romance
2334,Candyman: Farewell to the Flesh (1995),Fantasy|Horror
51,Fargo (1996),Comedy|Crime|Drama|Thriller
1397,Homeward Bound II: Lost in San Francisco (1996),Adventure|Children
994,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
1957,Hellraiser: Bloodline (1996),Action|Horror|Sci-Fi
1408,"Pallbearer, The (1996)",Comedy
2670,Jane Eyre (1996),Drama|Romance
2013,Bread and Chocolate (Pane e cioccolata) (1973),Comedy|Drama
1086,"Aristocats, The (1970)",Animation|Children
2810,Ed (1996),Comedy
2671,My Favorite Season (1993),Drama
2423,"Last Supper, The (1995)",Drama|Thriller
913,Primal Fear (1996),Crime|Drama|Mystery|Thriller
2162,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance
1776,Denise Calls Up (1995),Comedy
2704,"Family Thing, A (1996)",Comedy|Drama
2103,Sgt. Bilko (1996),Comedy
2534,Girl 6 (1996),Comedy|Drama
2090,Diabolique (1996),Drama|Thriller
2404,Nelly & Monsieur Arnaud (1995),Drama
56,Courage Under Fire (1996),Action|Crime|Drama|War
58,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
440,Moll Flanders (1996),Drama
187,Dragonheart (1996),Action|Adventure|Fantasy
2834,Eddie (1996),Comedy
1229,Purple Noon (Plein soleil) (1960),Crime|Drama|Thriller
1,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
2769,Fear (1996),Thriller
787,Kids in the Hall: Brain Candy (1996),Comedy
2406,Underground (1995),Comedy|Drama|War
2240,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),Action
2407,Song of the Little Road (Pather Panchali) (1955),Drama
2539,"World of Apu, The (Apur Sansar) (1959)",Drama
596,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
1330,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
1239,Barbarella (1968),Adventure|Comedy|Sci-Fi
1175,Some Folks Call It a Sling Blade (1993),Drama|Thriller
2605,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",Drama|Mystery|Romance|Sci-Fi|Thriller
2654,It's My Party (1996),Drama
1306,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War
